updatedAt,price,originalPrice,rating,reviewCount,stock,badge,specs,createdAt,sellerName,slug,title,description,id,sellerId,images,categoryId,tags
2025-10-15 16:24:39,45803.99,59618.28,4.3,3427,192,,"{""Brand"": ""Havells"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-10-09 16:24:39,SuperComNet,havells-cookware-set-1549,Havells Cookware Set,High quality Havells Cookware Set from Havells. Perfect for daily use. This Cookware Set is highly rated and recommended for customers in India.,943605cb-db4f-4f7c-98ef-84b0a9bc0c96,82ae18f7-d642-4a0a-9318-70a41c42069c,"['https://example.com/images/943605cb-db4f-4f7c-98ef-84b0a9bc0c96_1.jpg', 'https://example.com/images/943605cb-db4f-4f7c-98ef-84b0a9bc0c96_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2025-11-22 16:24:39,3971.84,5655.85,4.4,4835,132,Amazon's Choice,"{""Brand"": ""The Derma Co"", ""Color"": ""Blue"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-10-25 16:24:39,Cocoblu Retail,the-derma-co-perfume-2201,The Derma Co Perfume,High quality The Derma Co Perfume from The Derma Co. Perfect for daily use. This Perfume is highly rated and recommended for customers in India.,f016b777-f6cf-449c-8bed-63454bb70bce,36660673-64c2-4bf0-a748-a47176a624bc,"['https://example.com/images/f016b777-f6cf-449c-8bed-63454bb70bce_1.jpg', 'https://example.com/images/f016b777-f6cf-449c-8bed-63454bb70bce_2.jpg']",cat_beau_04,"['beauty & personal care', 'the derma co', 'india', 'trending']"
2026-01-10 16:24:39,20205.02,26730.12,4.6,4585,67,Bestseller,"{""Brand"": ""Happilo"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-12-30 16:24:39,RetailNet,happilo-organic-honey-6642,Happilo Organic Honey,High quality Happilo Organic Honey from Happilo. Perfect for daily use. This Organic Honey is highly rated and recommended for customers in India.,f56f5a83-1f28-4da6-a51e-2e92d95314cd,fe053bad-2afc-45b6-9fd4-3507e202c5ff,"['https://example.com/images/f56f5a83-1f28-4da6-a51e-2e92d95314cd_1.jpg', 'https://example.com/images/f56f5a83-1f28-4da6-a51e-2e92d95314cd_2.jpg']",cat_groc_05,"['grocery', 'happilo', 'india', 'trending']"
2025-12-02 16:24:39,22367.78,30559.28,4.8,1951,130,Bestseller,"{""Brand"": ""boAt"", ""Color"": ""Black"", ""Warranty"": ""2 Year"", ""Material"": ""Cotton""}",2025-11-04 16:24:39,Cocoblu Retail,boat-power-bank-lite-6599,boAt Power Bank Lite,High quality boAt Power Bank Lite from boAt. Perfect for daily use. This Power Bank is highly rated and recommended for customers in India.,d732ae68-ced3-4382-a275-4cb21bdf1cbf,7f5601f4-12c5-4331-ac08-4c1880bc383c,"['https://example.com/images/d732ae68-ced3-4382-a275-4cb21bdf1cbf_1.jpg', 'https://example.com/images/d732ae68-ced3-4382-a275-4cb21bdf1cbf_2.jpg']",cat_elec_01,"['electronics', 'boat', 'india', 'trending']"
2026-01-24 16:24:39,70992.01,79344.07,4.6,1923,87,Limited Time Deal,"{""Brand"": ""Apple"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Glass""}",2026-01-04 16:24:39,SuperComNet,apple-power-bank-v2-8391,Apple Power Bank v2,High quality Apple Power Bank v2 from Apple. Perfect for daily use. This Power Bank is highly rated and recommended for customers in India.,cfccdc42-2274-4ba7-9d20-591d2b51fa3d,8951597c-7ec7-4afe-8d96-419e6963b936,"['https://example.com/images/cfccdc42-2274-4ba7-9d20-591d2b51fa3d_1.jpg', 'https://example.com/images/cfccdc42-2274-4ba7-9d20-591d2b51fa3d_2.jpg']",cat_elec_01,"['electronics', 'apple', 'india', 'trending']"
2025-10-23 16:24:39,64016.54,78221.28,4.8,1129,0,Limited Time Deal,"{""Brand"": ""Havells"", ""Color"": ""Red"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2025-10-14 16:24:39,Cocoblu Retail,havells-bedsheet-6353,Havells Bedsheet,High quality Havells Bedsheet from Havells. Perfect for daily use. This Bedsheet is highly rated and recommended for customers in India.,54ffd5bc-6d3e-49d3-a4d5-1b8d74571e3c,f399996f-57ef-4e20-aef9-306f47ca886e,"['https://example.com/images/54ffd5bc-6d3e-49d3-a4d5-1b8d74571e3c_1.jpg', 'https://example.com/images/54ffd5bc-6d3e-49d3-a4d5-1b8d74571e3c_2.jpg']",cat_home_02,"['home & kitchen', 'havells', 'india', 'trending']"
2026-01-29 16:24:39,25799.39,36128.98,4.5,215,86,,"{""Brand"": ""Nivea"", ""Color"": ""Blue"", ""Warranty"": ""1 Year"", ""Material"": ""Metal""}",2026-01-02 16:24:39,Cocoblu Retail,nivea-matte-lipstick-5164,Nivea Matte Lipstick,High quality Nivea Matte Lipstick from Nivea. Perfect for daily use. This Matte Lipstick is highly rated and recommended for customers in India.,4a7b7fdf-d237-4f41-ac12-6afb18bc6985,59765e08-1dc9-4a48-8d6a-ac20b6ee6d4c,"['https://example.com/images/4a7b7fdf-d237-4f41-ac12-6afb18bc6985_1.jpg', 'https://example.com/images/4a7b7fdf-d237-4f41-ac12-6afb18bc6985_2.jpg']",cat_beau_04,"['beauty & personal care', 'nivea', 'india', 'trending']"
2025-08-27 16:24:39,67710.3,74903.11,4.7,877,53,Amazon's Choice,"{""Brand"": ""The Derma Co"", ""Color"": ""White"", ""Warranty"": ""2 Year"", ""Material"": ""Glass""}",2025-08-13 16:24:39,Cocoblu Retail,the-derma-co-matte-lipstick-8002,The Derma Co Matte Lipstick,High quality The Derma Co Matte Lipstick from The Derma Co. Perfect for daily use. This Matte Lipstick is highly rated and recommended for customers in India.,03754395-54c7-469f-8a0e-ae8d4686e790,ee55020d-7082-437b-8443-3ac6934ba5cb,"['https://example.com/images/03754395-54c7-469f-8a0e-ae8d4686e790_1.jpg', 'https://example.com/images/03754395-54c7-469f-8a0e-ae8d4686e790_2.jpg']",cat_beau_04,"['beauty & personal care', 'the derma co', 'india', 'trending']"
2025-06-17 16:24:39,29129.22,38350.95,4.5,1078,103,Limited Time Deal,"{""Brand"": ""Levis"", ""Color"": ""Blue"", ""Warranty"": ""2 Year"", ""Material"": ""Metal""}",2025-05-28 16:24:39,SuperComNet,levis-running-shoes-8317,Levis Running Shoes,High quality Levis Running Shoes from Levis. Perfect for daily use. This Running Shoes is highly rated and recommended for customers in India.,d0c87f5c-4eb4-4261-982c-73c3d1a78f5c,4f675e41-4099-458a-9005-4a63871e9abc,"['https://example.com/images/d0c87f5c-4eb4-4261-982c-73c3d1a78f5c_1.jpg', 'https://example.com/images/d0c87f5c-4eb4-4261-982c-73c3d1a78f5c_2.jpg']",cat_fash_03,"['fashion', 'levis', 'india', 'trending']"
2026-01-30 16:24:39,8438.37,10362.36,4.8,748,103,Limited Time Deal,"{""Brand"": ""Xiaomi"", ""Color"": ""White"", ""Warranty"": ""1 Year"", ""Material"": ""Cotton""}",2026-01-30 16:24:39,Cloudtail India,xiaomi-smartwatch-v2-3780,Xiaomi Smartwatch v2,High quality Xiaomi Smartwatch v2 from Xiaomi. Perfect for daily use. This Smartwatch is highly rated and recommended for customers in India.,0c6bcf7f-7ca0-4773-9d3a-0f96da0024cf,14be5a9b-5c7c-4950-8321-7c382b33cce3,"['https://example.com/images/0c6bcf7f-7ca0-4773-9d3a-0f96da0024cf_1.jpg', 'https://example.com/images/0c6bcf7f-7ca0-4773-9d3a-0f96da0024cf_2.jpg']",cat_elec_01,"['electronics', 'xiaomi', 'india', 'trending']"
